"Invested In","Sector","Market Value Latest Price","Value as of <br> 31 Dec, 2023","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Aster DM Healthcare Ltd Ordinary Shares","Healthcare","403231532","383397000","0.54","935572","-625065","-40.05","/mutual-fund/holding-history/9129/77534/"
"Oil India Ltd","Energy","437682000","379593000","0.54","1020000","","","/mutual-fund/holding-history/9129/965/"
"Gujarat Pipavav Port Ltd","Industrials","411346079.3","370550000","0.52","2421107","320892","15.28","/mutual-fund/holding-history/9129/487/"
"Galaxy Surfactants Ltd","Basic Materials","370058015.25","369300000","0.52","133045","95846","257.66","/mutual-fund/holding-history/9129/74800/"
"Andhra Paper Ltd","Basic Materials","354961002","345252000","0.49","566126","315221","125.63","/mutual-fund/holding-history/9129/641/"
"Atul Ltd","Basic Materials","290514050","336283000","0.47","47000","","","/mutual-fund/holding-history/9129/129/"
"Tech Mahindra Ltd","Technology","342275955.55","330536000","0.47","259723","","","/mutual-fund/holding-history/9129/1374/"
"Tracxn Technologies Ltd","Technology","319129766","306758000","0.43","2811716","-894860","-24.14","/mutual-fund/holding-history/9129/758704/"
"TeamLease Services Ltd","Industrials","267282145","306181000","0.43","95740","","","/mutual-fund/holding-history/9129/1955/"
"Godrej Agrovet Ltd Ordinary Shares","Consumer Defensive","274495337.5","284684000","0.4","510689","386285","310.51","/mutual-fund/holding-history/9129/62812/"
"Matrimony.com Ltd","Communication Services","257508173","271761000","0.38","468836","","","/mutual-fund/holding-history/9129/60598/"
"BASF India Ltd","Basic Materials","255260800.2","264356000","0.37","86212","36192","72.36","/mutual-fund/holding-history/9129/166/"
"S.P. Apparels Ltd","Consumer Cyclical","251330018.45","247196000","0.35","407309","-20000","-4.68","/mutual-fund/holding-history/9129/4656/"
"KEI Industries Ltd","Industrials","232613279.55","246857000","0.35","75969","","","/mutual-fund/holding-history/9129/729/"
"UNO Minda Ltd","Consumer Cyclical","186011501","186704000","0.26","271510","-80000","-22.76","/mutual-fund/holding-history/9129/864/"
"Supreme Petrochem Ltd","Basic Materials","196025841.75","184596000","0.26","329871","-185","-0.06","/mutual-fund/holding-history/9129/1322/"
"Universal Cables Ltd","Industrials","172005804.25","176106000","0.25","340235","221027","185.41","/mutual-fund/holding-history/9129/1453/"
"Affle India Ltd","Communication Services","145966400.15","159985000","0.23","122491","122491","New","/mutual-fund/holding-history/9129/154217/"
"HeidelbergCement India Ltd","Basic Materials","145849676.2","142992000","0.2","614492","157670","34.51","/mutual-fund/holding-history/9129/536/"
"Barbeque-Nation Hospitality Ltd","Consumer Cyclical","123580809.3","132340000","0.19","197951","-67037","-25.3","/mutual-fund/holding-history/9129/454003/"
"United Breweries Ltd","Consumer Defensive","112725091.7","112088000","0.16","62789","62789","New","/mutual-fund/holding-history/9129/1437/"
"TVS Holdings Ltd","Consumer Cyclical","110021536.9","107915000","0.15","13978","9921","244.54","/mutual-fund/holding-history/9129/1309/"
"UTI Asset Management Co Ltd","Financial Services","47703774.9","46123000","0.07","53223","53223","New","/mutual-fund/holding-history/9129/305194/"
"Nesco Ltd","Industrials","24096238.45","25296000","0.04","28657","","","/mutual-fund/holding-history/9129/929/"
"Gillette India Ltd","Consumer Defensive","9525207.2","9231000","0.01","1424","1424","New","/mutual-fund/holding-history/9129/456/"
