"Invested In","Sector","Market Value Latest Price","Value as of <br> 31 Dec, 2023","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Greenply Industries Ltd","Basic Materials","134200173.2","130003000","1.01","545086","545086","New","/mutual-fund/holding-history/20920/494/"
"Multi Commodity Exchange of India Ltd","Financial Services","135154160","129274000","1.01","40400","40400","New","/mutual-fund/holding-history/20920/853/"
"Carborundum Universal Ltd","Industrials","128470258","128754000","1","115640","-35368","-23.42","/mutual-fund/holding-history/20920/238/"
"Karur Vysya Bank Ltd","Financial Services","146158116.1","128540000","1","761042","-744970","-49.47","/mutual-fund/holding-history/20920/721/"
"Phoenix Mills Ltd","Real Estate","133059504","126275000","0.98","56256","-51000","-47.55","/mutual-fund/holding-history/20920/1036/"
"CG Power & Industrial Solutions Ltd","Industrials","126276157.75","124266000","0.97","273473","","","/mutual-fund/holding-history/20920/293/"
"DOMS Industries Ltd","Industrials","134481600","120077000","0.93","96000","96000","New","/mutual-fund/holding-history/20920/1819409/"
"Data Patterns (India) Ltd","Industrials","123590317.5","117736000","0.92","63258","-4797","-7.05","/mutual-fund/holding-history/20920/755079/"
"Kewal Kiran Clothing Ltd","Consumer Cyclical","112149160.85","113131000","0.88","147691","","","/mutual-fund/holding-history/20920/749/"
"Hindustan Copper Ltd","Basic Materials","117173397.6","112271000","0.87","410271","410271","New","/mutual-fund/holding-history/20920/551/"
"Bharat Dynamics Ltd Ordinary Shares","Industrials","109607692.4","110255000","0.86","64388","64388","New","/mutual-fund/holding-history/20920/80210/"
"Praj Industries Ltd","Industrials","94144015","103294000","0.8","185780","-248721","-57.24","/mutual-fund/holding-history/20920/1061/"
"Bikaji Foods International Ltd","Consumer Defensive","109781835.9","103028000","0.8","188661","","","/mutual-fund/holding-history/20920/1110875/"
"Ami Organics Ltd","Basic Materials","103124229.8","100762000","0.78","89806","-96605","-51.82","/mutual-fund/holding-history/20920/644637/"
"Jindal Stainless Ltd","Basic Materials","98760210.55","98803000","0.77","172703","172703","New","/mutual-fund/holding-history/20920/696/"
"Quess Corp Ltd","Industrials","92748902.4","98423000","0.77","188208","188208","New","/mutual-fund/holding-history/20920/4595/"
"Safari Industries (India) Ltd","Consumer Cyclical","90529045.2","90937000","0.71","46602","-34510","-42.55","/mutual-fund/holding-history/20920/2912/"
"Ion Exchange (India) Ltd","Industrials","69338861.1","78585000","0.61","139782","-160253","-53.41","/mutual-fund/holding-history/20920/2050/"
"Wonderla Holidays Ltd","Consumer Cyclical","80021136.3","78544000","0.61","93167","","","/mutual-fund/holding-history/20920/1528/"
"NLC India Ltd","Utilities","64761083.7","64481000","0.5","254414","254414","New","/mutual-fund/holding-history/20920/935/"
"SJVN Ltd","Utilities","89085955.2","63324000","0.49","696256","696256","New","/mutual-fund/holding-history/20920/1250/"
"Glenmark Life Sciences Ltd","Healthcare","42002500","32853000","0.26","50000","-184359","-78.67","/mutual-fund/holding-history/20920/606572/"
"Shree Digvijay Cement Co Ltd","Basic Materials","34815000","28125000","0.22","300000","300000","New","/mutual-fund/holding-history/20920/2117/"
"Digidrive Distributors Ltd","Consumer Cyclical","3487308.3","7641000","0.06","59409","59409","New","/mutual-fund/holding-history/20920/1577285/"
