"Invested In","Sector","Market Value Latest Price","Value as of <br> 31 Dec, 2023","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Amrutanjan Health Care Ltd","Healthcare","860626589.55","878955000","0.65","1466269","","","/mutual-fund/holding-history/8803/74/"
"Amber Enterprises India Ltd Ordinary Shares","Consumer Cyclical","1124583145.7","859344000","0.64","274078","","","/mutual-fund/holding-history/8803/73518/"
"Century Plyboards (India) Ltd","Basic Materials","865767999.25","843159000","0.62","1092245","336534","44.53","/mutual-fund/holding-history/8803/252/"
"Alembic Pharmaceuticals Ltd","Healthcare","816792912","658673000","0.49","867360","101242","13.21","/mutual-fund/holding-history/8803/92/"
"R R Kabel Ltd","Industrials","602130116.2","644937000","0.48","410422","-559476","-57.68","/mutual-fund/holding-history/8803/1681351/"
"IRM Energy Ltd","Utilities","559682692.8","592667000","0.44","1101304","","","/mutual-fund/holding-history/8803/1748143/"
"Happy Forgings Ltd","Industrials","491108950.5","521376000","0.39","506559","506559","New","/mutual-fund/holding-history/8803/1833301/"
"Borosil Ltd Ordinary Shares","Consumer Cyclical","542377098.8","517423000","0.38","1535609","","","/mutual-fund/holding-history/8803/250864/"
"GHCL Textiles Ltd","Consumer Cyclical","306941788.8","268405000","0.2","3853632","","","/mutual-fund/holding-history/8803/1496867/"
"Harsha Engineers International Ltd","Industrials","263805223.8","253736000","0.19","645474","","","/mutual-fund/holding-history/8803/1037930/"
"Siyaram Silk Mills Ltd","Consumer Cyclical","190746141.3","192948000","0.14","360954","-89046","-19.79","/mutual-fund/holding-history/8803/1249/"
"Campus Activewear Ltd","Consumer Cyclical","135110934","141267000","0.1","504616","","","/mutual-fund/holding-history/8803/877863/"
