"Invested In","Sector","Market Value Latest Price","Value as of <br> 31 Dec, 2023","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Tata Technologies Ltd","Technology","88444031.8","93123280","0.05","78908","","","/mutual-fund/holding-history/17696/1792699/"
"Motherson Sumi Wiring India Ltd","Consumer Cyclical","94535879","91930560","0.05","1488754","","","/mutual-fund/holding-history/17696/856676/"
"DOMS Industries Ltd","Industrials","85495276.35","76337570","0.04","61031","61031","New","/mutual-fund/holding-history/17696/1819409/"
"INOX India Ltd","Industrials","62903709.6","62007950","0.03","70256","70256","New","/mutual-fund/holding-history/17696/1830843/"
"Happy Forgings Ltd","Industrials","35222962.95","37025210","0.02","35973","35973","New","/mutual-fund/holding-history/17696/1833301/"
"SBFC Finance Ltd","Financial Services","24971643.5","25383340","0.01","283930","","","/mutual-fund/holding-history/17696/1578900/"
"Netweb Technologies India Ltd","Technology","24896838.75","20987570","0.01","17673","","","/mutual-fund/holding-history/17696/1544933/"
"V-Guard Industries Ltd","Industrials","17833568","18002910","0.01","61580","","","/mutual-fund/holding-history/17696/1476/"
"Suprajit Engineering Ltd","Consumer Cyclical","4444531.65","4645650","0","11427","","","/mutual-fund/holding-history/17696/1323/"
"Sundaram Fasteners Ltd","Consumer Cyclical","879331.6","900460","0","721","","","/mutual-fund/holding-history/17696/1313/"
