"Invested In","Sector","Market Value Latest Price","Value as of <br> 31 Dec, 2023","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Bandhan Bank Ltd","Financial Services","1657125000","1810500000","0.41","7500000","7500000","New","/mutual-fund/holding-history/10906/79883/"
"Indian Hotels Co Ltd","Consumer Cyclical","1929551539.2","1785935000","0.41","4074222","","","/mutual-fund/holding-history/10906/606/"
"MTAR Technologies Ltd","Industrials","1697117679.6","1776056000","0.41","804264","","","/mutual-fund/holding-history/10906/436155/"
"Raymond Ltd","Consumer Cyclical","1783133470.8","1753471000","0.4","1017596","","","/mutual-fund/holding-history/10906/1115/"
"Aditya Birla Fashion and Retail Ltd","Consumer Cyclical","1873615006.4","1734800000","0.4","7755029","","","/mutual-fund/holding-history/10906/1029/"
"PNB Housing Finance Ltd","Financial Services","1816562221.9","1727715000","0.39","2212891","-20000","-0.9","/mutual-fund/holding-history/10906/4826/"
"Apollo Hospitals Enterprise Ltd","Healthcare","1850655000","1711230000","0.39","300000","","","/mutual-fund/holding-history/10906/93/"
"FDC Ltd","Healthcare","1776342569.5","1687792000","0.39","4257262","","","/mutual-fund/holding-history/10906/410/"
"Chambal Fertilisers & Chemicals Ltd","Basic Materials","1617959010.6","1639028000","0.37","4389471","","","/mutual-fund/holding-history/10906/258/"
"Harsha Engineers International Ltd","Industrials","1690736316.8","1626201000","0.37","4136864","","","/mutual-fund/holding-history/10906/1037930/"
"KFin Technologies Ltd","Technology","1814902183.55","1621270000","0.37","3358753","","","/mutual-fund/holding-history/10906/1253626/"
"RHI Magnesita India Ltd","Industrials","1431285357.6","1597758000","0.36","1984176","488338","32.65","/mutual-fund/holding-history/10906/989/"
"VST Tillers Tractors Ltd","Industrials","1409185899.25","1593275000","0.36","421691","","","/mutual-fund/holding-history/10906/1503/"
"Sanofi India Ltd","Healthcare","1637453011.6","1583999000","0.36","196342","","","/mutual-fund/holding-history/10906/1182/"
"Lemon Tree Hotels Ltd","Consumer Cyclical","1805034351.5","1561974000","0.36","13032739","2000000","18.13","/mutual-fund/holding-history/10906/81513/"
"CARE Ratings Ltd","Financial Services","1668292686.3","1534678000","0.35","1612734","-25000","-1.53","/mutual-fund/holding-history/10906/240/"
"J.B. Chemicals & Pharmaceuticals Ltd","Healthcare","1590161976","1523714000","0.35","937872","","","/mutual-fund/holding-history/10906/665/"
"Castrol India Ltd","Energy","1456178176.6","1494849000","0.34","8316266","834266","11.15","/mutual-fund/holding-history/10906/241/"
"Automotive Axles Ltd","Consumer Cyclical","1459322900","1482541000","0.34","691000","","","/mutual-fund/holding-history/10906/135/"
"Bajaj Finance Ltd","Financial Services","1433311624","1482316000","0.34","202288","","","/mutual-fund/holding-history/10906/150/"
"Orient Cement Ltd","Basic Materials","1610895856.2","1472769000","0.34","5865268","","","/mutual-fund/holding-history/10906/985/"
"Bajaj Consumer Care Ltd","Consumer Defensive","1448164622.25","1467206000","0.33","6681267","","","/mutual-fund/holding-history/10906/145/"
"Fineotex Chemical Ltd","Basic Materials","1300458159","1460312000","0.33","4041828","","","/mutual-fund/holding-history/10906/1562/"
"Sheela Foam Ltd","Consumer Cyclical","1329895911.8","1449818000","0.33","1168831","","","/mutual-fund/holding-history/10906/4957/"
"Astra Microwave Products Ltd","Technology","1327254591.75","1414878000","0.32","2346009","","","/mutual-fund/holding-history/10906/123/"
"Ambuja Cements Ltd","Basic Materials","1512405000","1406430000","0.32","2700000","","","/mutual-fund/holding-history/10906/71/"
"eMudhra Ltd","Technology","1389622950","1394255000","0.32","3088051","","","/mutual-fund/holding-history/10906/897537/"
"Angel One Ltd Ordinary Shares","Financial Services","1153479638","1377210000","0.31","394865","","","/mutual-fund/holding-history/10906/300864/"
"Sundaram Finance Holdings Ltd","Industrials","1585820814.6","1369658000","0.31","9378006","","","/mutual-fund/holding-history/10906/87798/"
"G R Infraprojects Ltd","Industrials","1385265582","1362873000","0.31","1191114","-6428","-0.54","/mutual-fund/holding-history/10906/577216/"
"Zomato Ltd","Consumer Cyclical","1497650000","1360700000","0.31","11000000","","","/mutual-fund/holding-history/10906/589490/"
"Brigade Enterprises Ltd","Real Estate","1471733822.6","1353687000","0.31","1509548","","","/mutual-fund/holding-history/10906/219/"
"SIS Ltd Ordinary Shares","Industrials","1528519406.4","1336939000","0.31","2942856","","","/mutual-fund/holding-history/10906/57882/"
"PG Electroplast Ltd","Technology","1145389805.2","1318668000","0.3","555556","","","/mutual-fund/holding-history/10906/1031/"
"Bharat Dynamics Ltd Ordinary Shares","Industrials","1273900743.45","1306949000","0.3","763249","346504","83.15","/mutual-fund/holding-history/10906/80210/"
"Just Dial Ltd","Communication Services","1369496689.05","1305305000","0.3","1627157","","","/mutual-fund/holding-history/10906/704/"
"Sun Pharmaceuticals Industries Ltd","Healthcare","1408642957.2","1296584000","0.3","1029484","","","/mutual-fund/holding-history/10906/1316/"
"NIIT Ltd","Consumer Defensive","1383883270.3","1272773000","0.29","11111066","","","/mutual-fund/holding-history/10906/941/"
"Landmark Cars Ltd","Consumer Cyclical","1239714971","1259952000","0.29","1510190","","","/mutual-fund/holding-history/10906/1241144/"
"Godrej Agrovet Ltd Ordinary Shares","Consumer Defensive","1197292566.6","1249169000","0.29","2240862","","","/mutual-fund/holding-history/10906/62812/"
"Rallis India Ltd","Basic Materials","1283253462.4","1244646000","0.28","4981574","","","/mutual-fund/holding-history/10906/1101/"
"HDFC Life Insurance Company Limited","Financial Services","1095307617","1223377000","0.28","1891723","","","/mutual-fund/holding-history/10906/65394/"
"Data Patterns (India) Ltd","Industrials","1218149253.65","1220149000","0.28","655571","","","/mutual-fund/holding-history/10906/755079/"
"Sandhar Technologies Ltd Ordinary Shares","Consumer Cyclical","1121107501.8","1196430000","0.27","2425852","","","/mutual-fund/holding-history/10906/80794/"
"Greenlam Industries Ltd","Consumer Cyclical","1141323151.8","1180023000","0.27","2211438","","","/mutual-fund/holding-history/10906/1565/"
"Equitas Small Finance Bank Ltd Ordinary Shares","Financial Services","1179862393.2","1170983000","0.27","11099364","","","/mutual-fund/holding-history/10906/325199/"
"Asahi India Glass Ltd","Consumer Cyclical","1153801794.15","1168084000","0.27","2025813","233000","13","/mutual-fund/holding-history/10906/107/"
"PNC Infratech Ltd","Industrials","1361494306.8","1153561000","0.26","3282291","","","/mutual-fund/holding-history/10906/1717/"
"Sonata Software Ltd","Technology","1155746874","1146868000","0.26","1544084","","","/mutual-fund/holding-history/10906/1267/"
"Thyrocare Technologies Ltd","Healthcare","1111975482.75","1144338000","0.26","1778165","","","/mutual-fund/holding-history/10906/2013/"
"Divgi TorqTransfer Systems Ltd","Consumer Cyclical","1070188707.5","1130716000","0.26","1152910","","","/mutual-fund/holding-history/10906/1381687/"
