"Invested In","Sector","Market Value Latest Price","Value as of <br> 31 Dec, 2023","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Greenpanel Industries Ltd Ordinary Shares","Basic Materials","718425717.9","776255000","0.85","1812833","67300","3.86","/mutual-fund/holding-history/138299/170350/"
"Abbott India Ltd","Healthcare","842041200","767802000","0.84","33600","","","/mutual-fund/holding-history/138299/18/"
"KNR Constructions Ltd","Industrials","779995020.5","760136000","0.83","2964070","","","/mutual-fund/holding-history/138299/752/"
"K.P.R. Mill Ltd","Consumer Cyclical","693135453.5","743141000","0.81","900995","","","/mutual-fund/holding-history/138299/764/"
"GMM Pfaudler Ltd","Industrials","703800676.25","738458000","0.8","458129","","","/mutual-fund/holding-history/138299/2213/"
"Triveni Turbine Ltd","Industrials","663182869.8","729106000","0.79","1718981","723417","72.66","/mutual-fund/holding-history/138299/1418/"
"Ratnamani Metals & Tubes Ltd","Basic Materials","686544306.3","724535000","0.79","215427","37427","21.03","/mutual-fund/holding-history/138299/1114/"
"Timken India Ltd","Industrials","725222322.9","714684000","0.78","219771","","","/mutual-fund/holding-history/138299/1399/"
"Sobha Ltd","Real Estate","978380552.8","698049000","0.76","708176","236052","50","/mutual-fund/holding-history/138299/1261/"
"Honasa Consumer Ltd","Consumer Defensive","756113363.1","685933000","0.75","1556109","678776","77.37","/mutual-fund/holding-history/138299/1769048/"
"Brigade Enterprises Ltd","Real Estate","717731866.35","660163000","0.72","736173","736173","New","/mutual-fund/holding-history/138299/219/"
"Ahluwalia Contracts (India) Ltd","Industrials","681279264.6","652745000","0.71","841709","","","/mutual-fund/holding-history/138299/43/"
"Innova Captab Ltd","Healthcare","593408300.1","622739000","0.68","1150239","1150239","New","/mutual-fund/holding-history/138299/1842149/"
"Subros Ltd","Consumer Cyclical","759742490.1","595453000","0.65","1098926","","","/mutual-fund/holding-history/138299/1302/"
"Galaxy Surfactants Ltd","Basic Materials","560336560.2","573889000","0.63","206751","","","/mutual-fund/holding-history/138299/74800/"
"Vedant Fashions Ltd","Consumer Cyclical","492914781.35","555501000","0.61","438127","","","/mutual-fund/holding-history/138299/816269/"
"Central Depository Services (India) Ltd","Financial Services","515264505.4","531041000","0.58","291077","","","/mutual-fund/holding-history/138299/53219/"
"V-Mart Retail Ltd","Consumer Cyclical","547659040.5","529487000","0.58","264123","","","/mutual-fund/holding-history/138299/1498/"
"Ujjivan Small Finance Bank Ltd Ordinary Shares","Financial Services","502457619.65","523144000","0.57","9194101","","","/mutual-fund/holding-history/138299/175415/"
"Greenply Industries Ltd","Basic Materials","486093717.6","490412000","0.53","2056234","","","/mutual-fund/holding-history/138299/494/"
"Thermax Ltd","Industrials","466184060.3","461156000","0.5","149653","","","/mutual-fund/holding-history/138299/1387/"
"Greenlam Industries Ltd","Consumer Cyclical","433355235.3","448050000","0.49","839673","","","/mutual-fund/holding-history/138299/1565/"
"Prudent Corporate Advisory Services Ltd","Financial Services","440858382","423096000","0.46","351730","","","/mutual-fund/holding-history/138299/888523/"
"Fine Organic Industries Ltd Ordinary Shares","Basic Materials","359956364.1","383609000","0.42","77057","","","/mutual-fund/holding-history/138299/92286/"
"CCL Products (India) Ltd","Consumer Defensive","372478522.5","373552000","0.41","580275","","","/mutual-fund/holding-history/138299/243/"
"NOCIL Ltd","Basic Materials","293387994.25","296971000","0.32","1085617","","","/mutual-fund/holding-history/138299/950/"
"DCB Bank Ltd","Financial Services","270500000","265700000","0.29","2000000","-1500000","-42.86","/mutual-fund/holding-history/138299/311/"
"KFin Technologies Ltd","Technology","263695122.8","235561000","0.26","488008","-113000","-18.8","/mutual-fund/holding-history/138299/1253626/"
"Jupiter Life Line Hospitals Ltd","Healthcare","120156073.2","123996000","0.14","113768","113768","New","/mutual-fund/holding-history/138299/1665481/"
"ASK Automotive Ltd","Consumer Cyclical","107933763.3","108176000","0.12","372378","","","/mutual-fund/holding-history/138299/1776576/"
