"Invested In","Sector","Market Value Latest Price","Value as of <br> 31 Dec, 2023","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"PG Electroplast Ltd","Technology","63307135.2","76076000","0.9","32051","","","/mutual-fund/holding-history/138033/1031/"
"CIE Automotive India Ltd","Consumer Cyclical","76966050","75783000","0.9","161000","","","/mutual-fund/holding-history/138033/816/"
"Westlife Foodworld Ltd","Consumer Cyclical","75148995","75232000","0.89","92100","","","/mutual-fund/holding-history/138033/2228/"
"CCL Products (India) Ltd","Consumer Defensive","77400750","74031000","0.88","115000","","","/mutual-fund/holding-history/138033/243/"
"Cera Sanitaryware Ltd","Industrials","76483200","72980000","0.86","9300","","","/mutual-fund/holding-history/138033/254/"
"Lumax Industries Ltd","Consumer Cyclical","66404988.65","67144000","0.79","27077","","","/mutual-fund/holding-history/138033/802/"
"Timken India Ltd","Industrials","66935277.5","65527000","0.78","20150","","","/mutual-fund/holding-history/138033/1399/"
"IRM Energy Ltd","Utilities","62456256.2","63917000","0.76","118772","","","/mutual-fund/holding-history/138033/1748143/"
"Stylam Industries Ltd","Consumer Cyclical","61431100","63707000","0.75","37000","","","/mutual-fund/holding-history/138033/3226/"
"R R Kabel Ltd","Industrials","57394000","62856000","0.74","40000","","","/mutual-fund/holding-history/138033/1681351/"
"Vedant Fashions Ltd","Consumer Cyclical","49871360","61366000","0.73","48400","","","/mutual-fund/holding-history/138033/816269/"
"E I D Parry India Ltd","Basic Materials","65420250","58475000","0.69","105000","","","/mutual-fund/holding-history/138033/361/"
"Go Fashion (India) Ltd","Consumer Cyclical","48928500","56327000","0.67","45000","","","/mutual-fund/holding-history/138033/728986/"
"Ganesha Ecosphere Ltd","Consumer Cyclical","21548861.6","19958000","0.24","20356","","","/mutual-fund/holding-history/138033/1563/"
