"Invested In","Sector","Market Value Latest Price","Value as of <br> 31 Dec, 2023","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Home First Finance Co India Ltd ---","Financial Services","197804482.5","190750000","0.49","205085","-70000","-25.45","/mutual-fund/holding-history/189266/407835/"
"J.B. Chemicals & Pharmaceuticals Ltd","Healthcare","196555924","188342000","0.49","115928","","","/mutual-fund/holding-history/189266/665/"
"Heritage Foods Ltd","Consumer Defensive","201066162","186266000","0.48","614130","-105000","-14.6","/mutual-fund/holding-history/189266/539/"
"Swan Energy Ltd","Consumer Cyclical","220724734.8","185145000","0.48","362319","362319","New","/mutual-fund/holding-history/189266/1338/"
"CESC Ltd","Utilities","181211885.7","180124000","0.46","1359429","1359429","New","/mutual-fund/holding-history/189266/256/"
"Affle India Ltd","Communication Services","167709192.9","179597000","0.46","137506","","","/mutual-fund/holding-history/189266/154217/"
"JK Tyre & Industries Ltd","Consumer Cyclical","218021433.9","173174000","0.45","434782","434782","New","/mutual-fund/holding-history/189266/687/"
"Jyothy Labs Ltd","Consumer Defensive","197244436.2","172814000","0.45","360857","46734","14.88","/mutual-fund/holding-history/189266/706/"
"Hitachi Energy India Ltd Ordinary Shares","Technology","189942264.5","169781000","0.44","32251","","","/mutual-fund/holding-history/189266/202203/"
"Avanti Feeds Ltd","Consumer Defensive","203937186.6","168912000","0.44","402124","","","/mutual-fund/holding-history/189266/138/"
"ICICI Securities Ltd","Financial Services","181265175.6","167685000","0.43","233544","-150000","-39.11","/mutual-fund/holding-history/189266/81109/"
"Indian Renewable Energy Development Agency Ltd","Financial Services","270610260","163832000","0.42","1593700","-1188150","-42.71","/mutual-fund/holding-history/189266/1791996/"
"Krsnaa Diagnostics Ltd","Healthcare","156769867.3","162358000","0.42","229969","1330","0.58","/mutual-fund/holding-history/189266/620545/"
"Yatharth Hospital and Trauma Care Services Ltd","Healthcare","162115220","160985000","0.41","426619","","","/mutual-fund/holding-history/189266/1565404/"
"Gulf Oil Lubricants India Ltd","Basic Materials","161415527","149928000","0.39","208682","","","/mutual-fund/holding-history/189266/518/"
"Gujarat State Petronet Ltd","Utilities","173915755.15","147358000","0.38","481561","","","/mutual-fund/holding-history/189266/502/"
"MAS Financial Services Ltd Ordinary Shares","Financial Services","165742669.8","146476000","0.38","168412","","","/mutual-fund/holding-history/189266/62997/"
"Westlife Foodworld Ltd","Consumer Cyclical","147418153.4","145442000","0.37","178052","","","/mutual-fund/holding-history/189266/2228/"
"Aditya Birla Fashion and Retail Ltd","Consumer Cyclical","157040000","145405000","0.37","650000","","","/mutual-fund/holding-history/189266/1029/"
"Repco Home Finance Ltd","Financial Services","143990112.3","143151000","0.37","364809","45000","14.07","/mutual-fund/holding-history/189266/1132/"
"NOCIL Ltd","Basic Materials","139273067.25","140974000","0.36","515349","-150000","-22.54","/mutual-fund/holding-history/189266/950/"
"Innova Captab Ltd","Healthcare","133475711.6","140073000","0.36","258724","258724","New","/mutual-fund/holding-history/189266/1842149/"
"Landmark Cars Ltd","Consumer Cyclical","137711721.3","139960000","0.36","167757","","","/mutual-fund/holding-history/189266/1241144/"
"Steel Strips Wheels Ltd","Consumer Cyclical","149033532.4","139381000","0.36","537736","167337","45.18","/mutual-fund/holding-history/189266/1290/"
"Greenpanel Industries Ltd Ordinary Shares","Basic Materials","128789574","139156000","0.36","324980","324980","New","/mutual-fund/holding-history/189266/170350/"
"Narayana Hrudayalaya Ltd","Healthcare","144404088.4","137566000","0.35","114452","","","/mutual-fund/holding-history/189266/1886/"
"Rishabh Instruments Ltd","Technology","137150909.4","137328000","0.35","235614","-6453","-2.67","/mutual-fund/holding-history/189266/1650515/"
"IDFC Ltd","Financial Services","125315264","136821000","0.35","1080304","-330000","-23.4","/mutual-fund/holding-history/189266/590/"
"Orient Cement Ltd","Basic Materials","147523303.8","134874000","0.35","537132","","","/mutual-fund/holding-history/189266/985/"
"NCC Ltd","Industrials","155600000","133400000","0.34","800000","","","/mutual-fund/holding-history/189266/918/"
"CIE Automotive India Ltd","Consumer Cyclical","129264447","125350000","0.32","266305","","","/mutual-fund/holding-history/189266/816/"
"DCM Shriram Ltd","Basic Materials","118977863.55","122473000","0.32","119091","","","/mutual-fund/holding-history/189266/313/"
"R R Kabel Ltd","Industrials","113398027.4","121460000","0.31","77294","","","/mutual-fund/holding-history/189266/1681351/"
"Finolex Cables Ltd","Industrials","121748000","117607000","0.3","110000","","","/mutual-fund/holding-history/189266/416/"
"Amara Raja Energy & Mobility Ltd","Industrials","116281431","116696000","0.3","143010","","","/mutual-fund/holding-history/189266/68/"
"Gland Pharma Ltd","Healthcare","113943000","115470000","0.3","60000","","","/mutual-fund/holding-history/189266/338662/"
"Jupiter Wagons Ltd","Industrials","133661760","108188000","0.28","339200","339200","New","/mutual-fund/holding-history/189266/245/"
"Finolex Industries Ltd","Industrials","113724741.55","106625000","0.27","505331","","","/mutual-fund/holding-history/189266/417/"
"Blue Jet Healthcare Ltd","Healthcare","102669412.25","105052000","0.27","285391","","","/mutual-fund/holding-history/189266/1761328/"
"Glenmark Life Sciences Ltd","Healthcare","129996488.2","102146000","0.26","155461","150461","3009.22","/mutual-fund/holding-history/189266/606572/"
"Inox Wind Ltd","Industrials","93860894.1","99919000","0.26","199938","-463000","-69.84","/mutual-fund/holding-history/189266/1627/"
"Fine Organic Industries Ltd Ordinary Shares","Basic Materials","93426000","99565000","0.26","20000","","","/mutual-fund/holding-history/189266/92286/"
"Nuvoco Vista Corp Ltd","Basic Materials","89621904.6","98677000","0.25","257979","","","/mutual-fund/holding-history/189266/622855/"
"Kalpataru Projects International Ltd","Industrials","100576302.4","95769000","0.25","135038","","","/mutual-fund/holding-history/189266/712/"
"RBL Bank Ltd","Financial Services","80235744.75","87830000","0.23","314465","-240000","-43.28","/mutual-fund/holding-history/189266/4685/"
"Godfrey Phillips India Ltd","Consumer Defensive","90932147.25","84807000","0.22","40215","-3212","-7.4","/mutual-fund/holding-history/189266/475/"
"Keystone Realtors Ltd","Real Estate","82205379.75","76024000","0.2","118751","-211662","-64.06","/mutual-fund/holding-history/189266/1131322/"
"V-Mart Retail Ltd","Consumer Cyclical","74637706","72161000","0.19","35996","-30000","-45.46","/mutual-fund/holding-history/189266/1498/"
"Shivalik Bimetal Controls Ltd","Industrials","71157319.6","68977000","0.18","125288","125288","New","/mutual-fund/holding-history/189266/2607/"
"Kewal Kiran Clothing Ltd","Consumer Cyclical","62508110.7","63511000","0.16","82913","82913","New","/mutual-fund/holding-history/189266/749/"
"Syrma SGS Technology Ltd","Technology","54427518.5","60817000","0.16","90637","-463738","-83.65","/mutual-fund/holding-history/189266/995074/"
"Concord Biotech Ltd","Healthcare","56774656","60285000","0.16","40960","","","/mutual-fund/holding-history/189266/1587026/"
"Sunteck Realty Ltd","Real Estate","53718000","53466000","0.14","120000","120000","New","/mutual-fund/holding-history/189266/1317/"
"Butterfly Gandhimathi Appliances Ltd","Consumer Cyclical","48225914.75","49619000","0.13","47713","","","/mutual-fund/holding-history/189266/227/"
"Electronics Mart India Ltd","Consumer Cyclical","29691805.5","27750000","0.07","135765","","","/mutual-fund/holding-history/189266/1063762/"
"Rane Holdings Ltd","Consumer Cyclical","23081905.7","23020000","0.06","17911","","","/mutual-fund/holding-history/189266/1111/"
"Power Mech Projects Ltd","Industrials","25141022.75","21835000","0.06","5095","","","/mutual-fund/holding-history/189266/1766/"
"Transport Corp of India Ltd","Industrials","12283653.7","11847000","0.03","14398","","","/mutual-fund/holding-history/189266/1368/"
