"Invested In","Sector","Market Value Latest Price","Value as of <br> 31 Dec, 2023","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"VRL Logistics Ltd","Industrials","183290299.45","190177000","0.96","246839","16029","6.94","/mutual-fund/holding-history/182450/1688/"
"Global Health Ltd","Healthcare","220748756.2","189757000","0.96","197839","","","/mutual-fund/holding-history/182450/1108489/"
"Suzlon Energy Ltd","Industrials","211042372.2","184060000","0.93","4818319","-214711","-4.27","/mutual-fund/holding-history/182450/1337/"
"Aster DM Healthcare Ltd Ordinary Shares","Healthcare","193481503","183965000","0.93","448913","","","/mutual-fund/holding-history/182450/77534/"
"Century Textiles & Industries Ltd","Basic Materials","208803096.6","183874000","0.93","150402","","","/mutual-fund/holding-history/182450/253/"
"Timken India Ltd","Industrials","186594958.2","182669000","0.92","56172","","","/mutual-fund/holding-history/182450/1399/"
"Westlife Foodworld Ltd","Consumer Cyclical","181863831.7","182064000","0.92","222886","32005","16.77","/mutual-fund/holding-history/182450/2228/"
"Ganesha Ecosphere Ltd","Consumer Cyclical","194979299.6","180585000","0.91","184186","","","/mutual-fund/holding-history/182450/1563/"
"Sundaram Fasteners Ltd","Consumer Cyclical","175304084.4","179516000","0.9","143739","","","/mutual-fund/holding-history/182450/1313/"
"Blue Star Ltd","Industrials","207202866.4","178350000","0.9","188332","","","/mutual-fund/holding-history/182450/209/"
"Blue Dart Express Ltd","Industrials","154891219.2","176507000","0.89","23974","","","/mutual-fund/holding-history/182450/208/"
"Equitas Small Finance Bank Ltd Ordinary Shares","Financial Services","174967068.5","174884000","0.88","1657670","","","/mutual-fund/holding-history/182450/325199/"
"Maruti Suzuki India Ltd","Consumer Cyclical","168839693.9","174790000","0.88","16966","","","/mutual-fund/holding-history/182450/842/"
"Route Mobile Ltd Ordinary Shares","Communication Services","171121866","174034000","0.88","108870","","","/mutual-fund/holding-history/182450/290299/"
"PI Industries Ltd","Basic Materials","161147635.2","173489000","0.87","49344","","","/mutual-fund/holding-history/182450/1038/"
"ZF Commercial Vehicle Control Systems India Ltd","Consumer Cyclical","176173380","172875000","0.87","10800","","","/mutual-fund/holding-history/182450/1508/"
"Union Bank of India","Financial Services","203280546","171707000","0.86","1441706","-285763","-16.54","/mutual-fund/holding-history/182450/1447/"
"Kajaria Ceramics Ltd","Industrials","175950045.75","169561000","0.85","130261","9786","8.12","/mutual-fund/holding-history/182450/709/"
"MRF Ltd","Consumer Cyclical","183508839","169101000","0.85","1305","","","/mutual-fund/holding-history/182450/883/"
"Mayur Uniquoters Ltd","Consumer Cyclical","161963945.4","165773000","0.83","294159","56898","23.98","/mutual-fund/holding-history/182450/847/"
"Home First Finance Co India Ltd ---","Financial Services","173405749.2","165726000","0.83","178181","","","/mutual-fund/holding-history/182450/407835/"
"Ami Organics Ltd","Basic Materials","167424436.6","163590000","0.82","145802","","","/mutual-fund/holding-history/182450/644637/"
"Computer Age Management Services Ltd Ordinary Shares","Technology","169574227.5","162226000","0.82","61185","","","/mutual-fund/holding-history/182450/297909/"
"APL Apollo Tubes Ltd","Basic Materials","157209110.4","161152000","0.81","104862","","","/mutual-fund/holding-history/182450/91/"
"Century Plyboards (India) Ltd","Basic Materials","162588150","159794000","0.8","207000","207000","New","/mutual-fund/holding-history/182450/252/"
"Jammu & Kashmir Bank Ltd","Financial Services","164010019.8","154762000","0.78","1258228","1258228","New","/mutual-fund/holding-history/182450/653/"
"Share India Securities Ltd Ordinary Shares","Financial Services","154143000","150417000","0.76","81000","81000","New","/mutual-fund/holding-history/182450/71326/"
"Carborundum Universal Ltd","Industrials","149132817.05","149462000","0.75","134239","","","/mutual-fund/holding-history/182450/238/"
"Credo Brands Marketing Ltd","Consumer Cyclical","132632645.5","148959000","0.75","511010","511010","New","/mutual-fund/holding-history/182450/1839759/"
"Raymond Ltd","Consumer Cyclical","114603170.5","115518000","0.58","67039","","","/mutual-fund/holding-history/182450/1115/"
"CSB Bank Ltd Ordinary Shares","Financial Services","98655391.8","109904000","0.55","262521","","","/mutual-fund/holding-history/182450/174482/"
"KPI Green Energy Ltd","Utilities","117544050","104217000","0.52","71000","71000","New","/mutual-fund/holding-history/182450/125099/"
