"Invested In","Sector","Market Value Latest Price","Value as of <br> 31 Dec, 2023","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"IDFC Ltd","Financial Services","2432755026.8","2632280000","4.52","20783896","-216104","-1.03","/mutual-fund/holding-history/137723/590/"
"Quess Corp Ltd","Industrials","2367706880","2512566000","4.32","4804600","","","/mutual-fund/holding-history/137723/4595/"
"BASF India Ltd","Basic Materials","2259279553.35","2339781000","4.02","763051","","","/mutual-fund/holding-history/137723/166/"
"Radico Khaitan Ltd","Consumer Defensive","2033062500","2072813000","3.56","1250000","-69276","-5.25","/mutual-fund/holding-history/137723/1090/"
"ELANTAS Beck India Ltd","Basic Materials","1795397207","1832682000","3.15","215767","","","/mutual-fund/holding-history/137723/2035/"
"Keystone Realtors Ltd","Real Estate","1949573012","1750514000","3.01","2734324","","","/mutual-fund/holding-history/137723/1131322/"
"UTI Asset Management Co Ltd","Financial Services","1761677650","1703302000","2.93","1965500","","","/mutual-fund/holding-history/137723/305194/"
"Krsnaa Diagnostics Ltd","Healthcare","1663460700","1686634000","2.9","2389000","","","/mutual-fund/holding-history/137723/620545/"
"Gujarat Pipavav Port Ltd","Industrials","1845046889.5","1662063000","2.86","10859605","","","/mutual-fund/holding-history/137723/487/"
"Redington Ltd","Technology","1597050000","1591200000","2.73","9000000","","","/mutual-fund/holding-history/137723/1120/"
"CE Info Systems Ltd","Technology","1548840264.95","1558979000","2.68","801449","-3913","-0.49","/mutual-fund/holding-history/137723/750563/"
"Netweb Technologies India Ltd","Technology","1814734845","1529788000","2.63","1288188","","","/mutual-fund/holding-history/137723/1544933/"
"CIE Automotive India Ltd","Consumer Cyclical","1536726622.65","1513100000","2.6","3214573","","","/mutual-fund/holding-history/137723/816/"
"DCB Bank Ltd","Financial Services","1542256048","1506535000","2.59","11340118","","","/mutual-fund/holding-history/137723/311/"
"Suven Pharmaceuticals Ltd","Healthcare","1370200000","1445600000","2.48","2000000","-473862","-19.15","/mutual-fund/holding-history/137723/191143/"
"KSB Ltd","Industrials","1472933014.5","1425243000","2.45","411118","","","/mutual-fund/holding-history/137723/768/"
"Allcargo Logistics Ltd","Industrials","331991579.2","1376310000","2.37","4278242","","","/mutual-fund/holding-history/137723/59/"
"Agro Tech Foods Ltd","Consumer Defensive","1337365877.25","1369453000","2.35","1572909","","","/mutual-fund/holding-history/137723/125/"
"Kirloskar Pneumatic Co Ltd","Industrials","1473750655","1355401000","2.33","2250001","","","/mutual-fund/holding-history/137723/2214/"
"Greenply Industries Ltd","Basic Materials","1345069876.4","1303002000","2.24","5463322","","","/mutual-fund/holding-history/137723/494/"
"Time Technoplast Ltd","Consumer Cyclical","1211520847.4","1254840000","2.16","7101529","","","/mutual-fund/holding-history/137723/1398/"
"Gokaldas Exports Ltd","Consumer Cyclical","1381468887.85","1242126000","2.13","1503967","-100000","-6.23","/mutual-fund/holding-history/137723/480/"
