"Invested In","Sector","Market Value Latest Price","Value as of <br> 31 Dec, 2023","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Jash Engineering Ltd Ordinary Shares","Industrials","717909403.85","645811000","0.5","412817","","","/mutual-fund/holding-history/6125/87787/"
"Neogen Chemicals Ltd","Basic Materials","602883570","632835000","0.49","427577","","","/mutual-fund/holding-history/6125/141845/"
"Aster DM Healthcare Ltd Ordinary Shares","Healthcare","658365024.2","627000000","0.48","1530014","553866","56.74","/mutual-fund/holding-history/6125/77534/"
"Latent View Analytics Ltd","Industrials","650887000","623419000","0.48","1370000","620000","82.67","/mutual-fund/holding-history/6125/717540/"
"Neuland Laboratories Limited","","731881965","616178000","0.47","116449","","","/mutual-fund/holding-history/6125/933/"
"Engineers India Ltd","Industrials","784836956.75","578132000","0.44","3372017","622017","22.62","/mutual-fund/holding-history/6125/380/"
"Sandur Manganese And Iron Ores Ltd","Basic Materials","604932300","534188000","0.41","183870","183870","New","/mutual-fund/holding-history/6125/2200/"
"Himadri Speciality Chemical Ltd","Basic Materials","618033000","523055000","0.4","1690000","1690000","New","/mutual-fund/holding-history/6125/529/"
"Metropolis Healthcare Ltd","Healthcare","468846254.8","494497000","0.38","294668","-65000","-18.07","/mutual-fund/holding-history/6125/139598/"
"Bharat Heavy Electricals Ltd","Industrials","570000000","483875000","0.37","2500000","2500000","New","/mutual-fund/holding-history/6125/189/"
"Indiabulls Real Estate Ltd","Real Estate","528145000","461895000","0.36","5300000","5300000","New","/mutual-fund/holding-history/6125/580/"
"India Shelter Finance Corporation Ltd","Financial Services","466562365.6","450902000","0.35","792934","792934","New","/mutual-fund/holding-history/6125/1826519/"
"Network 18 Media & Investments Ltd","Communication Services","586500000","445485000","0.34","5100000","5100000","New","/mutual-fund/holding-history/6125/932/"
"PIX Transmissions Ltd","Industrials","429784993.55","442803000","0.34","342581","71907","26.57","/mutual-fund/holding-history/6125/2072/"
"BLS International Services Ltd","Industrials","549298000","429593000","0.33","1345000","1345000","New","/mutual-fund/holding-history/6125/4751/"
"Best Agrolife Ltd","Basic Materials","390100000","420450000","0.32","500000","","","/mutual-fund/holding-history/6125/4331/"
"NCC Ltd","Industrials","474976374.6","375901000","0.29","2254278","","","/mutual-fund/holding-history/6125/918/"
"KSB Ltd","Industrials","373583537.1","361700000","0.28","104334","","","/mutual-fund/holding-history/6125/768/"
"HP Adhesives Ltd","Basic Materials","426619056.5","342252000","0.26","3415685","","","/mutual-fund/holding-history/6125/752901/"
"Vardhman Textiles Ltd","Consumer Cyclical","328739500","322435000","0.25","835000","","","/mutual-fund/holding-history/6125/1504/"
"Sai Silks (Kalamandir) Ltd","Consumer Cyclical","268290000","302500000","0.23","1100000","1100000","New","/mutual-fund/holding-history/6125/1698176/"
"EPL Ltd Ordinary Shares","Consumer Cyclical","286813590","297726000","0.23","1474620","","","/mutual-fund/holding-history/6125/393/"
"MMTC Ltd","Industrials","318220927.2","240273000","0.18","4017941","3017941","301.79","/mutual-fund/holding-history/6125/869/"
"Confidence Petroleum India Ltd","Energy","225326800","234214000","0.18","2614000","","","/mutual-fund/holding-history/6125/3203/"
"Primo Chemicals Ltd","Basic Materials","208435441.88","228714000","0.18","4556962","","","/mutual-fund/holding-history/6125/2300/"
"Oriental Hotels Ltd","Consumer Cyclical","223830252.8","221923000","0.17","1816804","1816804","New","/mutual-fund/holding-history/6125/986/"
"KNR Constructions Ltd","Industrials","210961924","199857000","0.15","779320","779320","New","/mutual-fund/holding-history/6125/752/"
"Taj GVK Hotels & Resorts Ltd","Consumer Cyclical","212187098.7","189564000","0.15","828694","","","/mutual-fund/holding-history/6125/1345/"
"Indian Hume Pipe Company Limited","","188486823.85","186679000","0.14","769177","","","/mutual-fund/holding-history/6125/611/"
"Sun Pharma Advanced Research Co Ltd","Healthcare","222169756.65","170895000","0.13","595869","","","/mutual-fund/holding-history/6125/1271/"
"IndiaMART InterMESH Ltd","Communication Services","150030000","163314000","0.13","60000","60000","New","/mutual-fund/holding-history/6125/149049/"
"Bharat Rasayan Ltd","Basic Materials","145048890","144630000","0.11","16063","","","/mutual-fund/holding-history/6125/186/"
"NACL Industries Ltd","Basic Materials","139133810.95","140757000","0.11","1909867","","","/mutual-fund/holding-history/6125/3071/"
"Vimta Labs Ltd","Healthcare","139852387.2","133233000","0.1","330152","","","/mutual-fund/holding-history/6125/1484/"
"FDC Ltd","Healthcare","115185325","110037000","0.08","277555","","","/mutual-fund/holding-history/6125/410/"
"Nahar Spinning Mills Ltd","Consumer Cyclical","61701264.2","58582000","0.05","206566","","","/mutual-fund/holding-history/6125/906/"
