Open,High,Low,Close,Adj Close,Volume
17387.150390625,17646.650390625,17383.30078125,17625.69921875,17625.69921875,200500
17681.400390625,17827.599609375,17593.55078125,17805.25,17805.25,247400
17820.099609375,17944.69921875,17748.849609375,17925.25,17925.25,251500
17768.5,17797.94921875,17655.55078125,17745.900390625,17745.900390625,236500
17797.599609375,17905.0,17704.55078125,17812.69921875,17812.69921875,239300
17913.30078125,18017.44921875,17879.150390625,18003.30078125,18003.30078125,232400
17997.75,18081.25,17964.400390625,18055.75,18055.75,220200
18170.400390625,18227.94921875,18128.80078125,18212.349609375,18212.349609375,245000
18257.0,18272.25,18163.80078125,18257.80078125,18257.80078125,303700
18185.0,18286.94921875,18119.650390625,18255.75,18255.75,229500
18235.650390625,18321.55078125,18228.75,18308.099609375,18308.099609375,266700
18337.19921875,18350.94921875,18085.900390625,18113.05078125,18113.05078125,227500
18129.19921875,18129.19921875,17884.900390625,17938.400390625,17938.400390625,276700
17921.0,17943.69921875,17648.44921875,17757.0,17757.0,258100
17613.69921875,17707.599609375,17485.849609375,17617.150390625,17617.150390625,277600
17575.150390625,17599.400390625,16997.849609375,17149.099609375,17149.099609375,323800
17001.55078125,17309.150390625,16836.80078125,17277.94921875,17277.94921875,326500
17062.0,17182.5,16866.75,17110.150390625,17110.150390625,395600
17208.30078125,17373.5,17077.099609375,17101.94921875,17101.94921875,355300
17301.05078125,17410.0,17264.150390625,17339.849609375,17339.849609375,321700
17529.44921875,17622.400390625,17244.55078125,17576.849609375,17576.849609375,386400
17706.19921875,17794.599609375,17674.80078125,17780.0,17780.0,271200
17767.75,17781.150390625,17511.150390625,17560.19921875,17560.19921875,226600
17590.19921875,17617.80078125,17462.55078125,17516.30078125,17516.30078125,261400
17456.30078125,17536.75,17119.400390625,17213.599609375,17213.599609375,265000
17279.849609375,17306.44921875,17043.650390625,17266.75,17266.75,268500
17370.099609375,17477.150390625,17339.0,17463.80078125,17463.80078125,236400
17554.099609375,17639.44921875,17427.150390625,17605.849609375,17605.849609375,273600
17451.0,17454.75,17303.0,17374.75,17374.75,253100
17076.150390625,17099.5,16809.650390625,16842.80078125,16842.80078125,305500
16933.25,17375.0,16839.25,17352.44921875,17352.44921875,298700
17408.44921875,17490.599609375,17257.69921875,17322.19921875,17322.19921875,244500
17396.55078125,17442.900390625,17235.849609375,17304.599609375,17304.599609375,232100
17236.05078125,17380.80078125,17219.19921875,17276.30078125,17276.30078125,189600
17192.25,17351.05078125,17070.69921875,17206.650390625,17206.650390625,215200
16847.94921875,17148.55078125,16843.80078125,17092.19921875,17092.19921875,300100
17194.5,17220.69921875,17027.849609375,17063.25,17063.25,200200
16548.900390625,16705.25,16203.25,16247.9501953125,16247.9501953125,458000
16515.650390625,16748.80078125,16478.30078125,16658.400390625,16658.400390625,329800
16481.599609375,16815.900390625,16356.2998046875,16793.900390625,16793.900390625,404200
16593.099609375,16678.5,16478.650390625,16605.94921875,16605.94921875,517700
16723.19921875,16768.94921875,16442.94921875,16498.05078125,16498.05078125,442100
16339.4501953125,16456.0,16133.7998046875,16245.349609375,16245.349609375,456100
15867.9501953125,15944.599609375,15711.4501953125,15863.150390625,15863.150390625,585400
15747.75,16028.75,15671.4501953125,16013.4501953125,16013.4501953125,543600
16078.0,16418.05078125,15990.0,16345.349609375,16345.349609375,462200
16757.099609375,16757.30078125,16447.900390625,16594.900390625,16594.900390625,486400
16528.80078125,16694.400390625,16470.900390625,16630.44921875,16630.44921875,343700
16633.69921875,16887.94921875,16606.5,16871.30078125,16871.30078125,314700
16900.650390625,16927.75,16555.0,16663.0,16663.0,381600
16876.650390625,16987.900390625,16837.849609375,16975.349609375,16975.349609375,260000
17202.900390625,17344.599609375,17175.75,17287.05078125,17287.05078125,448300
17329.5,17353.349609375,17096.400390625,17117.599609375,17117.599609375,285500
17120.400390625,17334.400390625,17006.30078125,17315.5,17315.5,338300
17405.05078125,17442.400390625,17199.599609375,17245.650390625,17245.650390625,292100
17094.94921875,17291.75,17091.150390625,17222.75,17222.75,290300
17289.0,17294.900390625,17076.55078125,17153.0,17153.0,237100
