Invested In,Sector,Market Value Latest Price,"Value as of <br> 31 Dec, 2023",% of Total Holding,Quantity,Month Change <br> in Shares,Month Change <br> in Shares %,History ,fundname
Transport Corp of India Ltd,Industrials,667446545.8,643703000,1.11,782332,,,/mutual-fund/holding-history/137723/1368/,Tata Small Cap Fund Dir Gr
Eveready Industries India Ltd,Industrials,607932896.4,613695000,1.05,1772916,,,/mutual-fund/holding-history/137723/398/,Tata Small Cap Fund Dir Gr
Graphite India Ltd,Industrials,548716486.5,569361000,0.98,1034826,,,/mutual-fund/holding-history/137723/489/,Tata Small Cap Fund Dir Gr
Eureka Forbes Ltd,Technology,527478250.95,565072000,0.97,1108963,,,/mutual-fund/holding-history/137723/850674/,Tata Small Cap Fund Dir Gr
Ramco Industries Ltd,Industrials,543244436.1,494989000,0.85,2281581,,,/mutual-fund/holding-history/137723/1104/,Tata Small Cap Fund Dir Gr
Kirloskar Ferrous Industries Ltd,Industrials,503784041.55,473566000,0.81,854813,,,/mutual-fund/holding-history/137723/2056/,Tata Small Cap Fund Dir Gr
PCBL Ltd,Basic Materials,594449797.7,463959000,0.8,1844399,,,/mutual-fund/holding-history/137723/1034/,Tata Small Cap Fund Dir Gr
Vardhman Special Steels Ltd,Basic Materials,418898366.25,429609000,0.74,1965275,,,/mutual-fund/holding-history/137723/1501/,Tata Small Cap Fund Dir Gr
Ganesha Ecosphere Ltd,Consumer Cyclical,426724689.05,404684000,0.7,412753,-86000.0,-17.24,/mutual-fund/holding-history/137723/1563/,Tata Small Cap Fund Dir Gr
Cera Sanitaryware Ltd,Industrials,408417385.95,391478000,0.67,49887,-23008.0,-31.56,/mutual-fund/holding-history/137723/254/,Tata Small Cap Fund Dir Gr
Automotive Axles Ltd,Consumer Cyclical,302829564.8,307648000,0.53,143392,,,/mutual-fund/holding-history/137723/135/,Tata Small Cap Fund Dir Gr
S H Kelkar & Co Ltd,Basic Materials,272499316.3,228510000,0.39,1571054,-92194.0,-5.54,/mutual-fund/holding-history/137723/1788/,Tata Small Cap Fund Dir Gr
Transindia Real Estate Ltd,Real Estate,175763049.77,143338000,0.25,3157231,,,/mutual-fund/holding-history/137723/1611703/,Tata Small Cap Fund Dir Gr
POWERGRID Infrastructure Investment Trust Units,,104339565.0,100896000,0.17,1043500,,,/mutual-fund/holding-history/137723/481511/,Tata Small Cap Fund Dir Gr
Allcargo Terminals Ltd,Industrials,98580443.27,71169000,0.12,1354313,-1415687.0,-51.11,/mutual-fund/holding-history/137723/1611704/,Tata Small Cap Fund Dir Gr
Reliance Industries Ltd,Energy,13306680780.0,12710716000,9.78,4917200,2145000.0,77.38,/mutual-fund/holding-history/6125/1127/,Quant Small Cap Dir Gr
Hindustan Copper Ltd,Basic Materials,4993891915.15,4846883000,3.73,17711977,,,/mutual-fund/holding-history/6125/551/,Quant Small Cap Dir Gr
Adani Power Ltd,Utilities,4449510733.8,4300866000,3.31,8189786,1440786.0,21.35,/mutual-fund/holding-history/6125/28/,Quant Small Cap Dir Gr
Jio Financial Services Ltd,Financial Services,4322120985.0,4197782000,3.23,18020100,,,/mutual-fund/holding-history/6125/1564869/,Quant Small Cap Dir Gr
BSE Ltd,Financial Services,3884246450.6,4065924000,3.13,1830508,130508.0,7.68,/mutual-fund/holding-history/6125/52884/,Quant Small Cap Dir Gr
IRB Infrastructure Developers Ltd,Industrials,4638445351.8,3801329000,2.92,91488074,,,/mutual-fund/holding-history/6125/644/,Quant Small Cap Dir Gr
RBL Bank Ltd,Financial Services,3260817000.0,3569454000,2.75,12780000,3680000.0,40.44,/mutual-fund/holding-history/6125/4685/,Quant Small Cap Dir Gr
Arvind Ltd,Consumer Cyclical,4202146286.25,3496105000,2.69,13371985,,,/mutual-fund/holding-history/6125/105/,Quant Small Cap Dir Gr
Bikaji Foods International Ltd,Consumer Defensive,3591967343.2,3418566000,2.63,6259964,,,/mutual-fund/holding-history/6125/1110875/,Quant Small Cap Dir Gr
Punjab National Bank,Financial Services,2923805500.0,2678989000,2.06,27979000,,,/mutual-fund/holding-history/6125/1048/,Quant Small Cap Dir Gr
Aegis Logistics Ltd,Energy,2704839502.0,2450336000,1.88,6963160,1696026.0,32.2,/mutual-fund/holding-history/6125/35/,Quant Small Cap Dir Gr
Minda Corp Ltd,Consumer Cyclical,2587203031.4,2448082000,1.88,6338077,681359.0,12.05,/mutual-fund/holding-history/6125/863/,Quant Small Cap Dir Gr
The Shipping Corp of India Ltd,Industrials,3133803120.75,2439649000,1.88,14976359,3500000.0,30.5,/mutual-fund/holding-history/6125/1196/,Quant Small Cap Dir Gr
HFCL Ltd,Technology,2743766235.0,2183337000,1.68,25945780,,,/mutual-fund/holding-history/6125/543/,Quant Small Cap Dir Gr
HEG Ltd,Industrials,1965401384.85,2168082000,1.67,1136103,60000.0,5.58,/mutual-fund/holding-history/6125/535/,Quant Small Cap Dir Gr
Just Dial Ltd,Communication Services,2243567047.05,2138406000,1.64,2665677,509350.0,23.62,/mutual-fund/holding-history/6125/704/,Quant Small Cap Dir Gr
Karnataka Bank Ltd,Financial Services,2201691500.0,2090067000,1.61,8930000,,,/mutual-fund/holding-history/6125/775/,Quant Small Cap Dir Gr
Marksans Pharma Ltd,Healthcare,1844991751.05,2036507000,1.57,12641259,,,/mutual-fund/holding-history/6125/841/,Quant Small Cap Dir Gr
