Invested In,Sector,Market Value Latest Price,"Value as of <br> 31 Dec, 2023",% of Total Holding,Quantity,Month Change <br> in Shares,Month Change <br> in Shares %,History ,fundname
Indoco Remedies Ltd,Healthcare,999431159.85,1084650000,0.25,2744559,,,/mutual-fund/holding-history/10906/614/,Nippon India Small Cap Dir Gr
Gujarat Fluorochemicals Ltd Ordinary Shares,Basic Materials,1005610822.25,1042208000,0.24,281735,,,/mutual-fund/holding-history/10906/169265/,Nippon India Small Cap Dir Gr
Vesuvius India Ltd,Industrials,1006675200.0,1034323000,0.24,288000,,,/mutual-fund/holding-history/10906/1475/,Nippon India Small Cap Dir Gr
Shriram Finance Ltd,Financial Services,1154310980.85,1027305000,0.23,500319,,,/mutual-fund/holding-history/10906/1288/,Nippon India Small Cap Dir Gr
Page Industries Ltd,Consumer Cyclical,974679705.0,1022514000,0.23,26550,26550.0,New,/mutual-fund/holding-history/10906/994/,Nippon India Small Cap Dir Gr
Styrenix Performance Materials Ltd,Basic Materials,1094795158.8,1020600000,0.23,706958,,,/mutual-fund/holding-history/10906/1300/,Nippon India Small Cap Dir Gr
Krishna Institute of Medical Sciences Ltd,Healthcare,1037125000.0,989600000,0.23,500000,,,/mutual-fund/holding-history/10906/555690/,Nippon India Small Cap Dir Gr
TTK Prestige Ltd,Consumer Cyclical,1037964417.1,988303000,0.23,1333202,,,/mutual-fund/holding-history/10906/1421/,Nippon India Small Cap Dir Gr
Honeywell Automation India Ltd,Industrials,1027530734.55,978398000,0.22,26553,,,/mutual-fund/holding-history/10906/569/,Nippon India Small Cap Dir Gr
Tatva Chintan Pharma Chem Ltd,Basic Materials,827986185.0,971412000,0.22,606450,,,/mutual-fund/holding-history/10906/596196/,Nippon India Small Cap Dir Gr
Triveni Engineering & Industries Ltd,Consumer Defensive,920828506.5,960974000,0.22,2787855,,,/mutual-fund/holding-history/10906/1419/,Nippon India Small Cap Dir Gr
JK Lakshmi Cement Ltd,Basic Materials,989596968.6,956111000,0.22,1063054,,,/mutual-fund/holding-history/10906/685/,Nippon India Small Cap Dir Gr
Seamec Ltd,Industrials,1076228829.25,953316000,0.22,911479,911479.0,New,/mutual-fund/holding-history/10906/1198/,Nippon India Small Cap Dir Gr
Kaynes Technology India Ltd,Industrials,1045772547.95,948442000,0.22,363311,,,/mutual-fund/holding-history/10906/1124672/,Nippon India Small Cap Dir Gr
Can Fin Homes Ltd,Financial Services,919238861.0,927769000,0.21,1193042,,,/mutual-fund/holding-history/10906/234/,Nippon India Small Cap Dir Gr
Rainbow Childrens Medicare Ltd,Healthcare,930823667.0,912505000,0.21,764851,,,/mutual-fund/holding-history/10906/877862/,Nippon India Small Cap Dir Gr
Archean Chemical Industries Ltd,Basic Materials,853688656.8,892280000,0.2,1373373,,,/mutual-fund/holding-history/10906/1121044/,Nippon India Small Cap Dir Gr
Nazara Technologies Ltd,Communication Services,947579061.45,891585000,0.2,1040781,,,/mutual-fund/holding-history/10906/447585/,Nippon India Small Cap Dir Gr
JK Tyre & Industries Ltd,Consumer Cyclical,1090108673.85,865870000,0.2,2173913,2173913.0,New,/mutual-fund/holding-history/10906/687/,Nippon India Small Cap Dir Gr
Kirloskar Ferrous Industries Ltd,Industrials,903210699.9,849035000,0.19,1532554,,,/mutual-fund/holding-history/10906/2056/,Nippon India Small Cap Dir Gr
Tata Coffee Ltd,Consumer Defensive,910053052.0,846708000,0.19,2639365,,,/mutual-fund/holding-history/10906/1356/,Nippon India Small Cap Dir Gr
Venus Pipes & Tubes Ltd,Basic Materials,855810000.0,840330000,0.19,600000,,,/mutual-fund/holding-history/10906/877861/,Nippon India Small Cap Dir Gr
Rishabh Instruments Ltd,Technology,783928622.5,784939000,0.18,1346725,,,/mutual-fund/holding-history/10906/1650515/,Nippon India Small Cap Dir Gr
KEC International Ltd,Industrials,799175414.6,764468000,0.17,1297468,,,/mutual-fund/holding-history/10906/727/,Nippon India Small Cap Dir Gr
Indian Renewable Energy Development Agency Ltd,Financial Services,1193880780.0,722797000,0.16,7031100,-1669155.0,-19.19,/mutual-fund/holding-history/10906/1791996/,Nippon India Small Cap Dir Gr
Indian Bank,Financial Services,783253524.2,715743000,0.16,1700507,1700507.0,New,/mutual-fund/holding-history/10906/609/,Nippon India Small Cap Dir Gr
La Opala RG Ltd,Consumer Cyclical,682675753.5,699427000,0.16,1882205,,,/mutual-fund/holding-history/10906/784/,Nippon India Small Cap Dir Gr
Polyplex Corp Ltd,Basic Materials,668201651.25,691280000,0.16,657517,,,/mutual-fund/holding-history/10906/1054/,Nippon India Small Cap Dir Gr
Hitachi Energy India Ltd Ordinary Shares,Technology,722264722.0,645599000,0.15,122636,15000.0,13.94,/mutual-fund/holding-history/10906/202203/,Nippon India Small Cap Dir Gr
JM Financial Ltd,Financial Services,742309142.4,643466000,0.15,6545936,,,/mutual-fund/holding-history/10906/689/,Nippon India Small Cap Dir Gr
Mishra Dhatu Nigam Ltd Ordinary Shares,Basic Materials,750242211.6,626676000,0.14,1498686,,,/mutual-fund/holding-history/10906/80900/,Nippon India Small Cap Dir Gr
Cyient DLM Ltd,Technology,612965817.5,608726000,0.14,902150,,,/mutual-fund/holding-history/10906/1513580/,Nippon India Small Cap Dir Gr
Pokarna Ltd,Industrials,572054037.5,587533000,0.13,1223645,,,/mutual-fund/holding-history/10906/3854/,Nippon India Small Cap Dir Gr
CCL Products (India) Ltd,Consumer Defensive,583573756.5,585256000,0.13,909135,,,/mutual-fund/holding-history/10906/243/,Nippon India Small Cap Dir Gr
Century Plyboards (India) Ltd,Basic Materials,565921979.3,551143000,0.13,713962,,,/mutual-fund/holding-history/10906/252/,Nippon India Small Cap Dir Gr
Tracxn Technologies Ltd,Technology,572246615.9,549337000,0.13,5035166,-1898823.0,-27.38,/mutual-fund/holding-history/10906/758704/,Nippon India Small Cap Dir Gr
VIP Industries Ltd,Consumer Cyclical,507055770.0,546021000,0.12,913614,,,/mutual-fund/holding-history/10906/1488/,Nippon India Small Cap Dir Gr
ICICI Prudential Life Insurance Company Limited,Financial Services,486300000.0,534850000,0.12,1000000,,,/mutual-fund/holding-history/10906/4714/,Nippon India Small Cap Dir Gr
Subros Ltd,Consumer Cyclical,680979750.0,533722000,0.12,985000,,,/mutual-fund/holding-history/10906/1302/,Nippon India Small Cap Dir Gr
Astec Lifesciences Limited,,469221595.15,513222000,0.12,468589,,,/mutual-fund/holding-history/10906/121/,Nippon India Small Cap Dir Gr
GlaxoSmithKline Pharmaceuticals Ltd,Healthcare,590144357.25,510741000,0.12,269073,,,/mutual-fund/holding-history/10906/463/,Nippon India Small Cap Dir Gr
Rolex Rings Ltd,Industrials,470292820.2,497276000,0.11,197316,,,/mutual-fund/holding-history/10906/612873/,Nippon India Small Cap Dir Gr
Gabriel India Ltd,Consumer Cyclical,472999121.7,493264000,0.11,1254806,-307089.0,-19.66,/mutual-fund/holding-history/10906/429/,Nippon India Small Cap Dir Gr
Credo Brands Marketing Ltd,Consumer Cyclical,425660776.0,491893000,0.11,1687456,1687456.0,New,/mutual-fund/holding-history/10906/1839759/,Nippon India Small Cap Dir Gr
Honasa Consumer Ltd,Consumer Defensive,533941904.8,484383000,0.11,1098872,-181998.0,-14.21,/mutual-fund/holding-history/10906/1769048/,Nippon India Small Cap Dir Gr
Tata Technologies Ltd,Technology,424273239.5,437470000,0.1,370690,-90000.0,-19.54,/mutual-fund/holding-history/10906/1792699/,Nippon India Small Cap Dir Gr
DOMS Industries Ltd,Industrials,497917703.4,429470000,0.1,343356,343356.0,New,/mutual-fund/holding-history/10906/1819409/,Nippon India Small Cap Dir Gr
Bajel Projects Ltd,Utilities,549794848.05,406643000,0.09,3062071,3062071.0,New,/mutual-fund/holding-history/10906/1845603/,Nippon India Small Cap Dir Gr
Paras Defence And Space Technologies Ltd,Industrials,428008932.0,393473000,0.09,547326,,,/mutual-fund/holding-history/10906/665815/,Nippon India Small Cap Dir Gr
Concord Biotech Ltd,Healthcare,349676991.4,371297000,0.08,252274,,,/mutual-fund/holding-history/10906/1587026/,Nippon India Small Cap Dir Gr
Aeroflex Industries Ltd,Industrials,353158608.0,333982000,0.08,2154720,188134.0,9.57,/mutual-fund/holding-history/10906/1617407/,Nippon India Small Cap Dir Gr
Netweb Technologies India Ltd,Technology,408705724.8,323508000,0.07,272416,,,/mutual-fund/holding-history/10906/1544933/,Nippon India Small Cap Dir Gr
Union Bank of India,Financial Services,350875000.0,297750000,0.07,2500000,,,/mutual-fund/holding-history/10906/1447/,Nippon India Small Cap Dir Gr
INOX India Ltd,Industrials,285846739.2,295558000,0.07,334872,334872.0,New,/mutual-fund/holding-history/10906/1830843/,Nippon India Small Cap Dir Gr
Azad Engineering Ltd,Industrials,272585815.6,278996000,0.06,403144,403144.0,New,/mutual-fund/holding-history/10906/1840438/,Nippon India Small Cap Dir Gr
Ashoka Buildcon Ltd,Industrials,323020127.7,277829000,0.06,1995183,-1271789.0,-38.93,/mutual-fund/holding-history/10906/113/,Nippon India Small Cap Dir Gr
Tarsons Products Ltd,Healthcare,267100996.8,275945000,0.06,523317,,,/mutual-fund/holding-history/10906/731411/,Nippon India Small Cap Dir Gr
Westlife Foodworld Ltd,Consumer Cyclical,235050037.3,231899000,0.05,283894,,,/mutual-fund/holding-history/10906/2228/,Nippon India Small Cap Dir Gr
Laurus Labs Ltd,Healthcare,176885205.6,200887000,0.05,466962,,,/mutual-fund/holding-history/10906/4984/,Nippon India Small Cap Dir Gr
India Shelter Finance Corporation Ltd,Financial Services,192027489.5,189594000,0.04,333410,333410.0,New,/mutual-fund/holding-history/10906/1826519/,Nippon India Small Cap Dir Gr
Happy Forgings Ltd,Industrials,153097623.0,162533000,0.04,157914,157914.0,New,/mutual-fund/holding-history/10906/1833301/,Nippon India Small Cap Dir Gr
Blue Jet Healthcare Ltd,Healthcare,129965083.75,132982000,0.03,361265,-652149.0,-64.35,/mutual-fund/holding-history/10906/1761328/,Nippon India Small Cap Dir Gr
Apar Industries Ltd,Industrials,3834986146.05,4247071493,3.21,701601,-12000.0,-1.68,/mutual-fund/holding-history/20566/88/,HSBC Small Cap Fund Dir Gr
K.P.R. Mill Ltd,Consumer Cyclical,3832374882.7,4108855847,3.11,4981639,,,/mutual-fund/holding-history/20566/764/,HSBC Small Cap Fund Dir Gr
Sonata Software Ltd,Technology,3665022765.0,3636867948,2.75,4896490,,,/mutual-fund/holding-history/20566/1267/,HSBC Small Cap Fund Dir Gr
Brigade Enterprises Ltd,Real Estate,3696637969.1,3400133442,2.57,3791618,,,/mutual-fund/holding-history/20566/219/,HSBC Small Cap Fund Dir Gr
KPIT Technologies Ltd,Technology,3097287690.0,3312606570,2.5,2188200,,,/mutual-fund/holding-history/20566/141324/,HSBC Small Cap Fund Dir Gr
KEI Industries Ltd,Industrials,3136394514.0,3201871553,2.42,985358,,,/mutual-fund/holding-history/20566/729/,HSBC Small Cap Fund Dir Gr
Birlasoft Ltd,Technology,3614981859.75,3185557800,2.41,4417943,-178257.0,-3.88,/mutual-fund/holding-history/20566/763/,HSBC Small Cap Fund Dir Gr
Ratnamani Metals & Tubes Ltd,Basic Materials,2773947871.8,2927446792,2.21,870422,,,/mutual-fund/holding-history/20566/1114/,HSBC Small Cap Fund Dir Gr
EIH Ltd,Consumer Cyclical,3111833449.9,2500893689,1.89,10023622,,,/mutual-fund/holding-history/20566/363/,HSBC Small Cap Fund Dir Gr
Maharashtra Seamless Ltd,Basic Materials,2592242994.8,2412968570,1.82,2607628,,,/mutual-fund/holding-history/20566/820/,HSBC Small Cap Fund Dir Gr
Polycab India Ltd,Industrials,1896194777.4,2394268661,1.81,436524,,,/mutual-fund/holding-history/20566/139599/,HSBC Small Cap Fund Dir Gr
Grindwell Norton Ltd,Industrials,2425102006.6,2372938320,1.79,1018822,,,/mutual-fund/holding-history/20566/496/,HSBC Small Cap Fund Dir Gr
RHI Magnesita India Ltd,Industrials,2105244826.65,2350105215,1.78,2918479,-100000.0,-3.31,/mutual-fund/holding-history/20566/989/,HSBC Small Cap Fund Dir Gr
Cera Sanitaryware Ltd,Industrials,2440540919.25,2339319366,1.77,298105,-6115.0,-2.01,/mutual-fund/holding-history/20566/254/,HSBC Small Cap Fund Dir Gr
Mahindra Lifespace Developers Ltd,Real Estate,2359087420.0,2305423590,1.74,4242200,,,/mutual-fund/holding-history/20566/818/,HSBC Small Cap Fund Dir Gr
JK Lakshmi Cement Ltd,Basic Materials,2289804547.5,2212321635,1.67,2459775,,,/mutual-fund/holding-history/20566/685/,HSBC Small Cap Fund Dir Gr
Tube Investments of India Ltd Ordinary Shares,Industrials,2446022331.9,2172309986,1.64,613361,,,/mutual-fund/holding-history/20566/67548/,HSBC Small Cap Fund Dir Gr
APL Apollo Tubes Ltd,Basic Materials,2083002490.65,2148644647,1.62,1398129,,,/mutual-fund/holding-history/20566/91/,HSBC Small Cap Fund Dir Gr
Techno Electric & Engineering Co Ltd,Industrials,2064866205.0,2058047644,1.56,2573042,,,/mutual-fund/holding-history/20566/118204/,HSBC Small Cap Fund Dir Gr
Finolex Cables Ltd,Industrials,2106954286.0,2035282052,1.54,1903645,-86939.0,-4.37,/mutual-fund/holding-history/20566/416/,HSBC Small Cap Fund Dir Gr
IIFL Finance Ltd,Financial Services,2045939168.5,2033699233,1.54,3399982,288782.0,9.28,/mutual-fund/holding-history/20566/598/,HSBC Small Cap Fund Dir Gr
Karur Vysya Bank Ltd,Financial Services,2147210100.0,2012004360,1.52,11912400,2000000.0,20.18,/mutual-fund/holding-history/20566/721/,HSBC Small Cap Fund Dir Gr
Krishna Institute of Medical Sciences Ltd,Healthcare,2087732625.0,1992064800,1.51,1006500,,,/mutual-fund/holding-history/20566/555690/,HSBC Small Cap Fund Dir Gr
Trent Ltd,Consumer Cyclical,2084691980.8,1970613827,1.49,645056,,,/mutual-fund/holding-history/20566/1412/,HSBC Small Cap Fund Dir Gr
Finolex Industries Ltd,Industrials,2097623535.0,1966667700,1.49,9320700,,,/mutual-fund/holding-history/20566/417/,HSBC Small Cap Fund Dir Gr
Supreme Petrochem Ltd,Basic Materials,1924299792.5,1896008740,1.43,3388150,,,/mutual-fund/holding-history/20566/1322/,HSBC Small Cap Fund Dir Gr
Gokaldas Exports Ltd,Consumer Cyclical,2084360800.0,1879748400,1.42,2276000,,,/mutual-fund/holding-history/20566/480/,HSBC Small Cap Fund Dir Gr
Indian Bank,Financial Services,1996826743.8,1824716406,1.38,4335273,,,/mutual-fund/holding-history/20566/609/,HSBC Small Cap Fund Dir Gr
Carborundum Universal Ltd,Industrials,1874964393.5,1816081214,1.37,1631113,-307600.0,-15.87,/mutual-fund/holding-history/20566/238/,HSBC Small Cap Fund Dir Gr
Suven Pharmaceuticals Ltd,Healthcare,1566374736.0,1661055838,1.26,2298085,23098.0,1.02,/mutual-fund/holding-history/20566/191143/,HSBC Small Cap Fund Dir Gr
VRL Logistics Ltd,Industrials,1516438080.0,1624724960,1.23,2108800,,,/mutual-fund/holding-history/20566/1688/,HSBC Small Cap Fund Dir Gr
Century Textiles & Industries Ltd,Basic Materials,1730745938.9,1572826468,1.19,1286513,,,/mutual-fund/holding-history/20566/253/,HSBC Small Cap Fund Dir Gr
Persistent Systems Ltd,Technology,1748645125.0,1542167780,1.17,208700,,,/mutual-fund/holding-history/20566/1023/,HSBC Small Cap Fund Dir Gr
KEC International Ltd,Industrials,1584307169.2,1515502531,1.15,2572136,,,/mutual-fund/holding-history/20566/727/,HSBC Small Cap Fund Dir Gr
Dixon Technologies (India) Ltd,Technology,1295672034.85,1447134398,1.09,220373,,,/mutual-fund/holding-history/20566/60393/,HSBC Small Cap Fund Dir Gr
Sobha Ltd,Real Estate,1968616186.15,1404556458,1.06,1424933,,,/mutual-fund/holding-history/20566/1261/,HSBC Small Cap Fund Dir Gr
Welspun Living Ltd,Consumer Cyclical,1320599215.2,1388359219,1.05,9611348,,,/mutual-fund/holding-history/20566/1518/,HSBC Small Cap Fund Dir Gr
H.G. Infra Engineering Ltd Ordinary Shares,Industrials,1494955743.05,1377003467,1.04,1624687,,,/mutual-fund/holding-history/20566/78664/,HSBC Small Cap Fund Dir Gr
GMM Pfaudler Ltd,Industrials,1284457088.75,1347707978,1.02,836099,,,/mutual-fund/holding-history/20566/2213/,HSBC Small Cap Fund Dir Gr
J.B. Chemicals & Pharmaceuticals Ltd,Healthcare,1377424200.0,1319865660,1.0,812400,87278.0,12.04,/mutual-fund/holding-history/20566/665/,HSBC Small Cap Fund Dir Gr
Amber Enterprises India Ltd Ordinary Shares,Consumer Cyclical,1725165314.35,1318275795,1.0,420449,,,/mutual-fund/holding-history/20566/73518/,HSBC Small Cap Fund Dir Gr
NCC Ltd,Industrials,1528711650.0,1310604975,0.99,7859700,,,/mutual-fund/holding-history/20566/918/,HSBC Small Cap Fund Dir Gr
Apollo Pipes Ltd,Industrials,1374001887.5,1288955828,0.97,1881550,,,/mutual-fund/holding-history/20566/3689/,HSBC Small Cap Fund Dir Gr
E I D Parry India Ltd,Basic Materials,1393628760.0,1258287705,0.95,2259450,-40000.0,-1.74,/mutual-fund/holding-history/20566/361/,HSBC Small Cap Fund Dir Gr
Can Fin Homes Ltd,Financial Services,1221281795.5,1232614910,0.93,1585051,,,/mutual-fund/holding-history/20566/234/,HSBC Small Cap Fund Dir Gr
Lakshmi Machine Works Ltd,Industrials,1110547480.0,1156802750,0.87,84200,-24515.0,-22.55,/mutual-fund/holding-history/20566/785/,HSBC Small Cap Fund Dir Gr
Jamna Auto Industries Ltd,Consumer Cyclical,1126094014.85,1133706187,0.86,10149563,,,/mutual-fund/holding-history/20566/660/,HSBC Small Cap Fund Dir Gr
Aegis Logistics Ltd,Energy,1239077810.0,1122490620,0.85,3189800,,,/mutual-fund/holding-history/20566/35/,HSBC Small Cap Fund Dir Gr
Kajaria Ceramics Ltd,Industrials,1126703280.0,1094990040,0.83,841200,,,/mutual-fund/holding-history/20566/709/,HSBC Small Cap Fund Dir Gr
Somany Ceramics Ltd,Industrials,1011053456.7,1082764729,0.82,1509711,,,/mutual-fund/holding-history/20566/1264/,HSBC Small Cap Fund Dir Gr
Concord Biotech Ltd,Healthcare,1010034436.8,1072482998,0.81,728688,13488.0,1.89,/mutual-fund/holding-history/20566/1587026/,HSBC Small Cap Fund Dir Gr
Lemon Tree Hotels Ltd,Consumer Cyclical,1228605800.0,1063165380,0.8,8870800,,,/mutual-fund/holding-history/20566/81513/,HSBC Small Cap Fund Dir Gr
Timken India Ltd,Industrials,1063679866.3,1048223807,0.79,322337,,,/mutual-fund/holding-history/20566/1399/,HSBC Small Cap Fund Dir Gr
The Federal Bank Ltd,Financial Services,933228340.0,1027669995,0.78,6581300,,,/mutual-fund/holding-history/20566/412/,HSBC Small Cap Fund Dir Gr
Supreme Industries Ltd,Industrials,871395088.55,986015497,0.75,217043,,,/mutual-fund/holding-history/20566/1324/,HSBC Small Cap Fund Dir Gr
Rolex Rings Ltd,Industrials,932322219.25,985814033,0.75,391165,,,/mutual-fund/holding-history/20566/612873/,HSBC Small Cap Fund Dir Gr
Ramco Cements Ltd,Basic Materials,931936815.0,981474665,0.74,961900,,,/mutual-fund/holding-history/20566/1103/,HSBC Small Cap Fund Dir Gr
360 One Wam Ltd Ordinary Shares,Financial Services,847120511.8,954186759,0.72,1344209,201990.0,17.68,/mutual-fund/holding-history/20566/166089/,HSBC Small Cap Fund Dir Gr
CCL Products (India) Ltd,Consumer Defensive,935620602.0,938317125,0.71,1457580,,,/mutual-fund/holding-history/20566/243/,HSBC Small Cap Fund Dir Gr
PNC Infratech Ltd,Industrials,1098100040.0,930393585,0.7,2647300,,,/mutual-fund/holding-history/20566/1717/,HSBC Small Cap Fund Dir Gr
Jyothy Labs Ltd,Consumer Defensive,1045481820.0,915992030,0.69,1912700,,,/mutual-fund/holding-history/20566/706/,HSBC Small Cap Fund Dir Gr
UNO Minda Ltd,Consumer Cyclical,910877310.0,915537210,0.69,1331400,,,/mutual-fund/holding-history/20566/864/,HSBC Small Cap Fund Dir Gr
Sumitomo Chemical India Ltd Ordinary Shares,Basic Materials,830421720.0,851171730,0.64,2106600,,,/mutual-fund/holding-history/20566/182906/,HSBC Small Cap Fund Dir Gr
Alkyl Amines Chemicals Ltd,Basic Materials,754500071.4,848756097,0.64,334716,85385.0,34.25,/mutual-fund/holding-history/20566/58/,HSBC Small Cap Fund Dir Gr
Kirloskar Pneumatic Co Ltd,Industrials,841004339.5,803841355,0.61,1334398,,,/mutual-fund/holding-history/20566/2214/,HSBC Small Cap Fund Dir Gr
Balrampur Chini Mills Ltd,Consumer Defensive,756073725.0,800336455,0.6,1949900,,,/mutual-fund/holding-history/20566/157/,HSBC Small Cap Fund Dir Gr
Jindal Saw Ltd,Basic Materials,997799600.0,800201100,0.6,1942000,,,/mutual-fund/holding-history/20566/676/,HSBC Small Cap Fund Dir Gr
Century Plyboards (India) Ltd,Basic Materials,784109988.9,763633011,0.58,989226,,,/mutual-fund/holding-history/20566/252/,HSBC Small Cap Fund Dir Gr
eClerx Services Ltd,Technology,753020020.5,747754348,0.57,288530,,,/mutual-fund/holding-history/20566/356/,HSBC Small Cap Fund Dir Gr
MM Forgings Ltd,Industrials,701751080.0,737736360,0.56,762400,,,/mutual-fund/holding-history/20566/868/,HSBC Small Cap Fund Dir Gr
Motherson Sumi Wiring India Ltd,Consumer Cyclical,694044354.5,703154042,0.53,11387110,,,/mutual-fund/holding-history/20566/856676/,HSBC Small Cap Fund Dir Gr
Zee Entertainment Enterprises Ltd,Communication Services,385886400.0,649528150,0.49,2364500,2364500.0,New,/mutual-fund/holding-history/20566/1537/,HSBC Small Cap Fund Dir Gr
City Union Bank Ltd,Financial Services,614573000.0,648522500,0.49,4352500,,,/mutual-fund/holding-history/20566/295/,HSBC Small Cap Fund Dir Gr
Sunteck Realty Ltd,Real Estate,622760384.05,619838912,0.47,1391177,-814741.0,-36.93,/mutual-fund/holding-history/20566/1317/,HSBC Small Cap Fund Dir Gr
ISGEC Heavy Engineering Ltd,Industrials,647156185.2,614710685,0.46,626361,,,/mutual-fund/holding-history/20566/3892/,HSBC Small Cap Fund Dir Gr
Prudent Corporate Advisory Services Ltd,Financial Services,633914570.4,608373892,0.46,505756,,,/mutual-fund/holding-history/20566/888523/,HSBC Small Cap Fund Dir Gr
Asahi India Glass Ltd,Consumer Cyclical,597913590.0,605314680,0.46,1049800,-261750.0,-19.96,/mutual-fund/holding-history/20566/107/,HSBC Small Cap Fund Dir Gr
Sterling Tools Ltd,Industrials,647027758.35,598876075,0.45,1677759,,,/mutual-fund/holding-history/20566/1296/,HSBC Small Cap Fund Dir Gr
Titagarh Rail Systems Ltd,Industrials,594709252.8,557673531,0.42,534426,534426.0,New,/mutual-fund/holding-history/20566/1434/,HSBC Small Cap Fund Dir Gr
Cholamandalam Financial Holdings Ltd,Financial Services,588641600.0,555802720,0.42,534400,,,/mutual-fund/holding-history/20566/1424/,HSBC Small Cap Fund Dir Gr
VST Tillers Tractors Ltd,Industrials,427306230.75,483127443,0.37,127869,,,/mutual-fund/holding-history/20566/1503/,HSBC Small Cap Fund Dir Gr
Gujarat Fluorochemicals Ltd Ordinary Shares,Basic Materials,446882620.0,463146100,0.35,125200,,,/mutual-fund/holding-history/20566/169265/,HSBC Small Cap Fund Dir Gr
Sundaram Finance Ltd,Financial Services,444182683.1,439249685,0.33,125203,51479.0,69.83,/mutual-fund/holding-history/20566/1311/,HSBC Small Cap Fund Dir Gr
Electronics Mart India Ltd,Consumer Cyclical,452819443.5,423211222,0.32,2070505,70505.0,3.53,/mutual-fund/holding-history/20566/1063762/,HSBC Small Cap Fund Dir Gr
Nitin Spinners Ltd,Consumer Cyclical,453588200.1,421874222,0.32,1305102,,,/mutual-fund/holding-history/20566/948/,HSBC Small Cap Fund Dir Gr
Happy Forgings Ltd,Industrials,373378687.5,396389906,0.3,385125,385125.0,New,/mutual-fund/holding-history/20566/1833301/,HSBC Small Cap Fund Dir Gr
Rainbow Childrens Medicare Ltd,Healthcare,398932600.0,391081790,0.3,327800,,,/mutual-fund/holding-history/20566/877862/,HSBC Small Cap Fund Dir Gr
Ideaforge Technology Ltd,Technology,324238744.1,372111417,0.28,448246,,,/mutual-fund/holding-history/20566/1506759/,HSBC Small Cap Fund Dir Gr
NIIT Learning Systems Ltd,Consumer Defensive,295925352.7,304900166,0.23,695722,,,/mutual-fund/holding-history/20566/1603230/,HSBC Small Cap Fund Dir Gr
Wim Plast Ltd,Consumer Cyclical,273598754.0,280804741,0.21,457523,,,/mutual-fund/holding-history/20566/3163/,HSBC Small Cap Fund Dir Gr
Radico Khaitan Ltd,Consumer Defensive,275758645.2,276609366,0.21,166808,46808.0,39.01,/mutual-fund/holding-history/20566/1090/,HSBC Small Cap Fund Dir Gr
Sai Silks (Kalamandir) Ltd,Consumer Cyclical,245409806.4,275347600,0.21,1001264,,,/mutual-fund/holding-history/20566/1698176/,HSBC Small Cap Fund Dir Gr
Emami Paper Mills Ltd,Basic Materials,298050080.9,269788668,0.2,2269993,-328424.0,-12.64,/mutual-fund/holding-history/20566/3902/,HSBC Small Cap Fund Dir Gr
Orient Paper & Industries Ltd,Basic Materials,341431649.2,265592065,0.2,6140857,,,/mutual-fund/holding-history/20566/988/,HSBC Small Cap Fund Dir Gr
Sonata Software Ltd,Technology,13981837785.0,13874429000,5.17,18679810,-431336.0,-2.26,/mutual-fund/holding-history/21601/1267/,HDFC Small Cap Dir Gr
Bank of Baroda,Financial Services,9724277223.6,9897734000,3.69,42828792,,,/mutual-fund/holding-history/21601/162/,HDFC Small Cap Dir Gr
Firstsource Solutions Ltd,Technology,10182714557.6,9662602000,3.6,52272662,1283954.0,2.52,/mutual-fund/holding-history/21601/428/,HDFC Small Cap Dir Gr
eClerx Services Ltd,Technology,9082818238.95,9019304000,3.36,3480207,5822.0,0.17,/mutual-fund/holding-history/21601/356/,HDFC Small Cap Dir Gr
Aster DM Healthcare Ltd Ordinary Shares,Healthcare,7182789511.6,6835827000,2.55,16680886,,,/mutual-fund/holding-history/21601/77534/,HDFC Small Cap Dir Gr
IDFC Ltd,Financial Services,5924299104.0,6468211000,2.41,51071544,,,/mutual-fund/holding-history/21601/590/,HDFC Small Cap Dir Gr
Great Eastern Shipping Co Ltd,Industrials,6578027782.8,6376320000,2.38,6527764,-140716.0,-2.11,/mutual-fund/holding-history/21601/452/,HDFC Small Cap Dir Gr
Equitas Small Finance Bank Ltd Ordinary Shares,Financial Services,6072583092.0,6026882000,2.25,57126840,,,/mutual-fund/holding-history/21601/325199/,HDFC Small Cap Dir Gr
PVR INOX Ltd,Communication Services,5091243183.75,5790318000,2.16,3490141,628725.0,21.97,/mutual-fund/holding-history/21601/1087/,HDFC Small Cap Dir Gr
Bajaj Electricals Ltd,Consumer Cyclical,6052146696.0,5777953000,2.15,5846355,158926.0,2.79,/mutual-fund/holding-history/21601/146/,HDFC Small Cap Dir Gr
Fortis Healthcare Ltd,Healthcare,5356776241.25,5220413000,1.95,12453275,,,/mutual-fund/holding-history/21601/424/,HDFC Small Cap Dir Gr
Power Mech Projects Ltd,Industrials,5995741637.1,5207278000,1.94,1215078,,,/mutual-fund/holding-history/21601/1766/,HDFC Small Cap Dir Gr
Kirloskar Ferrous Industries Ltd,Industrials,5300437684.35,4982510000,1.86,8993701,,,/mutual-fund/holding-history/21601/2056/,HDFC Small Cap Dir Gr
KEI Industries Ltd,Industrials,4771332915.0,4870942000,1.82,1499005,-369000.0,-19.75,/mutual-fund/holding-history/21601/729/,HDFC Small Cap Dir Gr
SKF India Ltd,Industrials,4824929923.4,4827764000,1.8,1049491,,,/mutual-fund/holding-history/21601/1251/,HDFC Small Cap Dir Gr
